,Restaurant_id,Food Rating,Service Rating,Value Rating,Atmosphere Rating,Meals
0,id_5569,3.5,4.0,3.5,3.5,"Lunch, Dinner, Brunch, Breakfast, Late Night"
1,id_1535,,,,,
2,id_352,4.5,4.5,4.0,4.5,
3,id_3456,,,,,
4,id_615,,,,,
5,id_1418,4.0,3.5,4.0,,"Breakfast, Lunch, Dinner, Drinks"
6,id_1720,4.5,4.0,4.0,,"Lunch, Dinner"
7,id_825,,,,,"Lunch, Dinner"
8,id_2690,,,,,
9,id_4209,4.0,3.5,3.5,,"Lunch, Brunch"
10,id_6578,3.0,3.0,3.0,,
11,id_5312,4.5,4.0,4.5,,"Lunch, Dinner"
12,id_4066,3.5,3.5,3.5,3.5,
13,id_4637,,,,,"Breakfast, Lunch, Dinner"
14,id_4773,,,,,
15,id_1401,3.5,3.5,3.5,3.5,"Breakfast, Brunch, Lunch, Dinner"
16,id_5257,,,,,
17,id_11121,,,,,
18,id_3127,,,,,
19,id_2791,3.5,3.0,3.5,,Dinner
20,id_368,,,,,
21,id_5844,,,,,
22,id_13016,3.5,3.5,3.5,,"Lunch, Dinner"
23,id_72,4.5,4.5,3.5,4.0,
24,id_14973,2.5,3.5,2.5,,Dinner
25,id_1076,,,,,
26,id_2763,,,,,"Lunch, Dinner"
27,id_2108,,,,,
28,id_10057,,,,,
29,id_8349,,,,,"Breakfast, Dinner"
30,id_1841,3.5,3.5,3.5,,
31,id_2006,,,,,
32,id_1327,,,,,
33,id_2434,,,,,"Lunch, Dinner"
34,id_2427,5.0,5.0,5.0,4.5,"Dinner, Lunch"
35,id_2045,5.0,5.0,5.0,,
36,id_5842,2.5,3.0,2.5,3.5,Late Night
37,id_5209,4.5,4.5,4.5,,
38,id_11291,,,,,
39,id_3131,,,,,
40,id_2711,,,,,
41,id_5459,3.0,3.0,3.0,3.0,
42,id_164,4.5,4.5,4.0,,Lunch
43,id_9924,3.0,3.0,3.5,,
44,id_2192,,,,,
45,id_11945,,4.0,4.0,,"Lunch, Dinner, Brunch, Late Night, Drinks"
46,id_8460,,,,,
47,id_75,4.0,4.0,4.0,3.5,
48,id_2098,,,,,
49,id_1048,,,,,
50,id_1907,,,,,"Lunch, Dinner"
51,id_10142,3.5,3.5,3.5,,"Lunch, Dinner"
52,id_9231,4.5,4.0,4.5,,"Lunch, Dinner"
53,id_279,,,,,
54,id_155,,,,,
55,id_2622,,,,,"Breakfast, Lunch, Dinner"
56,id_1585,,,,,
57,id_5510,,,,,"Breakfast, Lunch, Dinner"
58,id_547,4.0,3.5,4.0,4.0,"Dinner, Lunch, Late Night"
59,id_10032,,,,,"Lunch, Dinner"
60,id_8755,4.0,3.5,3.5,,
61,id_1620,,,,,"Breakfast, Lunch, Dinner"
62,id_3662,4.5,4.5,4.5,4.5,"Lunch, Dinner"
63,id_150,4.5,4.0,4.5,4.0,
64,id_52,4.5,4.5,4.0,4.5,
65,id_1981,,,,,
66,id_533,4.0,4.0,3.5,4.0,"Lunch, Dinner, Late Night"
67,id_2068,4.5,4.0,4.0,3.0,
68,id_8648,,,,,
69,id_2273,4.0,4.0,4.0,3.5,"Lunch, Dinner, Late Night"
70,id_643,4.0,4.0,4.0,,
71,id_851,,,,,
72,id_793,5.0,5.0,5.0,,
73,id_6029,,,,,
74,id_7122,3.5,3.5,3.5,4.0,
75,id_1247,,,,,
76,id_887,4.0,5.0,4.0,4.5,"Dinner, Lunch"
77,id_773,4.0,4.0,4.0,4.0,"Lunch, Dinner, Late Night"
78,id_6025,3.5,3.5,3.5,,"Breakfast, Lunch, Dinner, Brunch, Late Night"
79,id_35,4.5,4.5,4.5,4.5,
80,id_13815,3.5,3.0,2.5,3.0,"Drinks, Lunch, Dinner"
81,id_1012,3.0,3.0,3.0,2.5,Lunch
82,id_361,,,,,
83,id_3670,4.5,4.5,4.5,,"Lunch, Dinner"
84,id_2171,3.5,4.0,3.5,3.5,
85,id_1461,4.0,3.5,4.0,3.5,
86,id_1482,4.5,4.5,4.5,,"Breakfast, Lunch, Brunch"
87,id_1365,3.5,3.5,3.5,4.0,
88,id_8,4.5,4.5,4.5,,
89,id_1018,5.0,4.5,4.5,4.0,"Dinner, Lunch"
90,id_499,4.5,4.5,4.5,,"Lunch, Dinner"
91,id_1466,4.0,4.5,4.0,,"Breakfast, Lunch, Dinner"
92,id_7814,3.5,3.5,3.0,,"Lunch, Breakfast"
93,id_689,4.5,4.5,4.0,,"Dinner, Lunch"
94,id_1721,2.5,2.5,2.0,,
