Securities Type;Sell/Buy;Issue Code;Issue Name;Order No;Order Time;Trading Date;Settlement Date;Order Quantity;Order Price;Executed Quantity;Execution Price;Fee;Trading Tax;Income Tax;Special Tax;Surtax;Media Type;Trading Amount;Net Settlement Amount;Currency
Stock;Buy;UZ7037560008;O'zsanoatqurilishbank ATB;227;10:48:29;09/06/2020;11/06/2020;500;17.46;500;17.46;87.30;0.00;0.00;0.00;0.00;HTS;8,730.00;8,817.30;UZS
Stock;Buy;UZ7001100005;KAFOLAT Insurance Company JSC;288;11:28:24;09/06/2020;11/06/2020;400;2.40;400;2.40;9.60;0.00;0.00;0.00;0.00;HTS;960.00;969.60;UZS
Stock;Buy;UZ7025770007;Kvarts AJ;493;14:54:50;16/06/2020;18/06/2020;100;2,899.00;100;2,890.00;2,890.00;0.00;0.00;0.00;0.00;HTS;289,000.00;291,890.00;UZS
Stock;Buy;UZ7029000005;Qizilqumsement AJ;498;14:57:09;16/06/2020;18/06/2020;100;1,740.00;100;1,740.00;1,740.00;0.00;0.00;0.00;0.00;HTS;174,000.00;175,740.00;UZS
Stock;Buy;UZ7011340005;Hamkorbank ATB;325;12:05:38;19/06/2020;23/06/2020;10,000;26.90;10,000;26.90;2,690.00;0.00;0.00;0.00;0.00;HTS;269,000.00;271,690.00;UZS
Stock;Buy;UZ7037560008;O'zsanoatqurilishbank ATB;425;12:47:50;19/06/2020;23/06/2020;1,700;16.80;1,700;16.80;285.60;0.00;0.00;0.00;0.00;HTS;28,560.00;28,845.60;UZS
Stock;Buy;UZ7038380000;Chilonzor buyum savdo kompleksi AJ;729;14:54:52;22/06/2020;24/06/2020;15,000;10.10;15,000;10.10;1,515.00;0.00;0.00;0.00;0.00;HTS;151,500.00;153,015.00;UZS
Stock;Buy;UZ7001560000;Agrobank ATB;298;11:27:15;23/06/2020;25/06/2020;110;850.00;110;850.00;935.00;0.00;0.00;0.00;0.00;HTS;93,500.00;94,435.00;UZS
Stock;Buy;UZ7011340005;Hamkorbank ATB;358;12:59:07;24/06/2020;26/06/2020;5,000;25.50;3,436;25.50;1,267.18;0.00;0.00;0.00;0.00;HTS;87,618.00;88,885.18;UZS
Stock;Buy;UZ7011340005;Hamkorbank ATB;358;12:59:07;24/06/2020;26/06/2020;5,000;25.50;1,564;25.00;0.00;0.00;0.00;0.00;0.00;HTS;39,100.00;39,100.00;UZS
Stock;Buy;UZ7038380000;Chilonzor buyum savdo kompleksi AJ;361;14:36:19;01/07/2020;03/07/2020;60,000;10.00;58,651;10.00;5,865.10;0.00;0.00;0.00;0.00;HTS;586,510.00;592,375.10;UZS
Stock;Buy;UZ7025770007;Kvarts AJ;399;13:55:27;02/07/2020;06/07/2020;230;2,900.00;200;2,900.00;6,670.00;0.00;0.00;0.00;0.00;HTS;580,000.00;586,670.00;UZS
Stock;Buy;UZ7025770007;Kvarts AJ;399;13:55:27;02/07/2020;06/07/2020;230;2,900.00;30;2,900.00;0.00;0.00;0.00;0.00;0.00;HTS;87,000.00;87,000.00;UZS
Stock;Buy;UZ705457K018;IPOTEKA-BANK ATIB;420;14:13:15;02/07/2020;06/07/2020;300,000;2.24;300,000;2.24;6,720.00;0.00;0.00;0.00;0.00;HTS;672,000.00;678,720.00;UZS
Stock;Buy;UZ7001100005;KAFOLAT Insurance Company JSC;425;14:18:27;02/07/2020;06/07/2020;10,000;3.00;10,000;3.00;300.00;0.00;0.00;0.00;0.00;HTS;30,000.00;30,300.00;UZS
Stock;Buy;UZ701134K017;Hamkorbank ATB;322;11:27:22;08/07/2020;10/07/2020;6,000;75.00;6,000;75.00;4,500.00;0.00;0.00;0.00;0.00;HTS;450,000.00;454,500.00;UZS
Stock;Buy;UZ7037560008;O'zsanoatqurilishbank ATB;278;11:44:28;09/07/2020;13/07/2020;4,000;17.00;4,000;17.00;680.00;0.00;0.00;0.00;0.00;HTS;68,000.00;68,680.00;UZS
Stock;Buy;UZ7037560008;O'zsanoatqurilishbank ATB;340;11:29:41;03/08/2020;05/08/2020;40,000;17.10;27,012;17.10;6,840.00;0.00;0.00;0.00;0.00;HTS;461,905.20;468,745.20;UZS
Stock;Buy;UZ7037560008;O'zsanoatqurilishbank ATB;340;11:29:41;03/08/2020;05/08/2020;40,000;17.10;12,988;17.10;0.00;0.00;0.00;0.00;0.00;HTS;222,094.80;222,094.80;UZS
Stock;Buy;UZ7054570005;IPOTEKA-BANK ATIB;357;11:34:36;03/08/2020;05/08/2020;32,000;0.90;13;0.90;180.12;0.00;0.00;0.00;0.00;HTS;11.70;191.82;UZS
Stock;Buy;UZ7054570005;IPOTEKA-BANK ATIB;357;11:34:36;03/08/2020;05/08/2020;32,000;0.90;20,000;0.90;0.00;0.00;0.00;0.00;0.00;HTS;18,000.00;18,000.00;UZS
Stock;Buy;UZ7025770007;Kvarts AJ;602;14:34:01;03/08/2020;05/08/2020;400;2,999.99;400;2,999.99;11,999.96;0.00;0.00;0.00;0.00;HTS;1,199,996.00;1,211,995.96;UZS
Stock;Buy;UZ705457K018;IPOTEKA-BANK ATIB;633;14:43:13;03/08/2020;05/08/2020;250,000;2.20;250,000;2.20;5,500.00;0.00;0.00;0.00;0.00;HTS;550,000.00;555,500.00;UZS
Stock;Buy;UZ7038380000;Chilonzor buyum savdo kompleksi AJ;636;14:43:39;03/08/2020;05/08/2020;126,349;10.10;126,349;10.10;12,761.25;0.00;0.00;0.00;0.00;HTS;1,276,124.90;1,288,886.15;UZS
Stock;Buy;UZ7028660007;Kapital sug'urta AJ;455;12:54:58;04/08/2020;06/08/2020;100,000;1.40;78,836;1.40;1,404.24;0.00;0.00;0.00;0.00;HTS;110,370.40;111,774.64;UZS
Stock;Buy;UZ7037560008;O'zsanoatqurilishbank ATB;456;12:57:52;04/08/2020;06/08/2020;23,800;17.00;23,253;17.00;4,046.00;0.00;0.00;0.00;0.00;HTS;395,301.00;399,347.00;UZS
Stock;Buy;UZ7037560008;O'zsanoatqurilishbank ATB;456;12:57:52;04/08/2020;06/08/2020;23,800;17.00;547;17.00;0.00;0.00;0.00;0.00;0.00;HTS;9,299.00;9,299.00;UZS
Stock;Buy;UZ7054570005;IPOTEKA-BANK ATIB;462;13:00:18;04/08/2020;06/08/2020;179,987;0.91;179,987;0.91;1,637.89;0.00;0.00;0.00;0.00;HTS;163,788.17;165,426.06;UZS
Stock;Buy;UZ7025770007;Kvarts AJ;466;13:01:07;04/08/2020;06/08/2020;70;2,999.90;70;2,999.90;2,099.93;0.00;0.00;0.00;0.00;HTS;209,993.00;212,092.93;UZS
Stock;Buy;UZ7028660007;Kapital sug'urta AJ;573;14:43:06;04/08/2020;06/08/2020;21,164;1.42;21,164;1.42;0.00;0.00;0.00;0.00;0.00;HTS;30,052.88;30,052.88;UZS
Stock;Buy;UZ701134K017;Hamkorbank ATB;186;12:31:28;09/09/2020;11/09/2020;10,000;70.00;10,000;70.00;7,000.00;0.00;0.00;0.00;0.00;HTS;700,000.00;707,000.00;UZS
Stock;Buy;UZ7038380000;Chilonzor buyum savdo kompleksi AJ;187;12:33:03;09/09/2020;11/09/2020;90,000;9.68;90,000;9.68;8,712.00;0.00;0.00;0.00;0.00;HTS;871,200.00;879,912.00;UZS
Stock;Buy;UZ7054570005;IPOTEKA-BANK ATIB;192;12:42:03;09/09/2020;11/09/2020;150,000;0.95;150,000;0.95;1,425.00;0.00;0.00;0.00;0.00;HTS;142,500.00;143,925.00;UZS
